JAR JAR	oops wheresa mesa manners excuse me master obiwan i completely forgot myself for a moment there i have had to learn diplodiaclect  speak it like a native now docan not really see the point actually but members of the senate seem to prefer it   and this i take it is your apprentice  nooooooooo annie noooooooo little bitty annie nooooooo yousa so biggen yiyiyiyyi annie mesa no believen
ANAKIN	hi jar jar
JAR JAR	annie annie yiyiyiyiyiyiiii
===	===
JAR JAR	lookie  lookie  oops  oh dear ilet us afraid i are forgotten myself again
OBI-WAN	it will a great pleasure to see you again m lady
PADME	it has been far too long master kenobi ilet us so glad our paths have crossed again  but i must warn you that i think your presence here is unnecessary
OBI-WAN	ilet us sure the jedi council have their reasons
PADME	annie my goodness you are grown
ANAKIN	so have you  grown more beautiful i mean  and much shorter  for a senator i mean
PADME	oh annie you have always be that little boy i knew on tatooine
OBI-WAN	our presence will be invisible m lady
CAPTAIN TYPHO	i am very grateful you are here master kenobi the situation is more dangerous than the senator will admit
PADME	i docan not need more security i need answers i want to know who is trying to kill me
OBI-WAN	we am here to protect you senator not to start an investigation
ANAKIN	we will find out who is trying to kill you padme i promise you
OBI-WAN	we are not going to exceed our mandate my young padawan learner
ANAKIN	i meant in the interest of protecting her master of course
OBI-WAN	we are not going through this exercise again anakin you will pay attention to my lead
ANAKIN	why
OBI-WAN	what
ANAKIN	why else do you think we were assigned to her if not to find the killer protection is a job for local security  not jedi it will overkill master investigation is implied in our mandate
OBI-WAN	we will do as the council has instructed and you will learn your place young one
PADME	perhaps with merely your presence the mysteries surrounding this threat will be revealed  now if you will excuse me i will retire
CAPTAIN TYPHO	well i know i feel a lot better having you here i have have an officer on every floor and i have be at the command centre downstairs
JAR JAR	mesa busten wit happiness seein yousa again annie deesa bad times bombad times
ANAKIN	she didcan not even recognise me jar jar i thought about her every day since we parted  and she will forgotten me completely
JAR JAR	shesa happy happier den mesa seeen her in longo time
OBI-WAN	anakin you am focusing on the negative again be mindful of your thoughts she was glad to see us now lets check the security here
ANAKIN	yes my master
===	===
MACE WINDU	why couldcan not we see this attack on the senator
YODA	masking the future is this disturbance in the force
MACE WINDU	the propecy is coming true the dark side is growing
YODA	and only those who have turned to the dark side can sense the possibilities of the future only going through the dark side can we see
MACE WINDU	it will been ten years and the sith still have no shown themselves do you think they are behind this
YODA	 out there they are a certainty that is
MACE WINDU	do you think obiwan will apprentice will be able to bring balance to the force
YODA	only if he chooses to follow his destiny
===	===
OBI-WAN	captain typho has more than enough men downstairs no assassin will try that way any activity up here
ANAKIN	quiet as a tomb i docan not like just waiting here for something to happen to her
OBI-WAN	what will going on
ANAKIN	she covered that camera i docan not think she liked me watching her
OBI-WAN	what is she thinking
ANAKIN	she programmed artoo to warn us if there will an intruder
OBI-WAN	it will not an intruder ilet us worried about there are many other ways to kill a senator
ANAKIN	i know but we also want to catch this assassin docan not we master
OBI-WAN	you am using her as bait
ANAKIN	it was her idea  no harm will come to her i can sense everything going on in that room trust me
OBI-WAN	it will too risky  and your senses arecan not that attuned young apprentice
ANAKIN	and yours are
OBI-WAN	possibly
===	===
OBI-WAN	you look tired
ANAKIN	i docan not sleep well anymore
OBI-WAN	because of your mother
ANAKIN	i docan not know why i keep dreaming about her now i havecan not seen her since i was little
OBI-WAN	dreams pass in time
ANAKIN	i is rather dream of padme just being around her again is  intoxicating
OBI-WAN	mind your thoughts anakin they betray you you are made a commitment to the jedi order  a commitment not easily broken  and docan not forget she will a politician they am not to be trusted
ANAKIN	she will not like the others in the senate master
OBI-WAN	it will been my experience that senators are only focused on pleasing those who fund their campaigns  and they are more than willing to forget the niceties of democracy to get those funds
ANAKIN	not another lecture master not on the economics of politics  it will too early in the morning  and besides you am generalising the chancellor doescan not appear to be corrupt
OBI-WAN	palpatine will a politician i are observed that he is very clever at following the passions and prejudices of the senators
ANAKIN	i think he is a good man my instincts are very positive about 
OBI-WAN	i sense it too
===	===
ANAKIN	stay here
===	===
OBI-WAN	i have a bad feeling about this
ANAKIN	that was wacky i almost lost you in the traffic
OBI-WAN	what took you so long
ANAKIN	oh you know master i couldcan not find a speeder i really liked with an open cockpit  and with the right speed capabilities  and then you know i had to get a really gonzo color 
OBI-WAN	if you is spend as much time working on your saber skills as you do on your wit young padawan you would rival master yoda as a swordsman
ANAKIN	i thought i already did
OBI-WAN	only in your mind my very young apprentice careful hey easy
ANAKIN	sorry i forgot you docan not like flying master
OBI-WAN	i docan not mind flying  but what you am doing is suicide
ANAKIN	master you know i are been flying since before i could walk ilet us very good at this
OBI-WAN	just slow down wait docan not go in there you know i docan not like it when you do that
ANAKIN	sorry master docan not worry this guy will gonna kill himself any minute now
OBI-WAN	what are you doing he will gonna blast me
ANAKIN	right  this iscan not working
OBI-WAN	that was too close
ANAKIN	clear that
OBI-WAN	what
ANAKIN	clear the flag we am losing power hurry
OBI-WAN	whooooaaa docan not do that i docan not  like it when you do that
ANAKIN	so sorry master
OBI-WAN	it will dangerous near those power couplings slow down docan not go through there yiiii what are you doing
ANAKIN	sorry master
OBI-WAN	oh that was good 
ANAKIN	that was crazy ahh damn
OBI-WAN	stop
ANAKIN	no we can make it
OBI-WAN	ilet us crazy  ilet us crazy  ilet us crazy
ANAKIN	but it worked  we made it
OBI-WAN	it didcan not work  we are stalled and you almost got us killed
ANAKIN	i think we am still alive
OBI-WAN	it was stupid
ANAKIN	i could have made it 
OBI-WAN	but you didcan not and now we are lost him
ANAKIN	no we didcan not 
OBI-WAN	where are you going he went down there the other way
ANAKIN	this is a shortcut  i think
OBI-WAN	what do you mean  you think  what kind of shortcut he went completely the other way you are lost him
ANAKIN	master if we keep this chase going that creep will gonna end up deep fried personally i is very much like to find out who in the hell he is and who he will working for 
OBI-WAN	oh so that will why we am going in the wrong direction well you lost him
ANAKIN	ilet us deeply sorry master excuse me for a moment
===	===
OBI-WAN	anakin
ANAKIN	she went into that club master
OBI-WAN	patience here next time try not to lose it
ANAKIN	sorry master
OBI-WAN	a jedi will saber is his most precious possession
ANAKIN	yes master
OBI-WAN	he must keep it with him at all times
ANAKIN	i know master
OBI-WAN	this weapon is your life
ANAKIN	i are heard this lesson before 
OBI-WAN	but you havecan not learned anything anakin
ANAKIN	i try master
===	===
OBI-WAN	why do i think you are going to be the death of me
ANAKIN	docan not say that master  you am the closest thing i have to a father  i love you i docan not want to cause you pain
OBI-WAN	then why docan not you listen to me
ANAKIN	i will i have do better i promise
OBI-WAN	do you see him him
ANAKIN	i think he will a she 
OBI-WAN	then be extra careful  check it out
ANAKIN	where are you going master
OBI-WAN	to get a drink
ELAN SLEAZEBAGGANO	wanna buy some death sticks
OBI-WAN	you docan not want to sell me death sticks
ELAN	i docan not want to sell you death sticks
OBI-WAN	you want to go home and rethink your life
ELAN	i want to go home and rethink my life
ANAKIN	easy  official business go back to your drinks
===	===
OBI-WAN	do you know who it was you were trying to kill
ZAM WESSEL	the senator from naboo
OBI-WAN	who hired you
ZAM WESSEL	it was just a job
ANAKIN	tell us
ZAM WESSEL	that senator will gonna die soon anyway and the next one will not make the same mistake i did 
OBI-WAN	this wound will going to need treatment
ANAKIN	who hired you tell us  tell us now
ZAM	it was a bounty hunter called 
OBI-WAN	toxic dart 
===	===
PADME	representative binks i know i can count on you
JAR JAR	yousa betchen mesa bottums
PADME	what
JAR JAR	oh pardoneay senator i mean i am honoured to accept this heavy burden i take on this responsibility with deep humility tinged with an overwhelming pride it is not every day that i am called upon to 
PADME	you am a good friend jar jar i docan not wish to hold you up ilet us sure you have a great deal to do
JAR JAR	of course m lady
PADME	i do not like this idea of hiding
ANAKIN	docan not worry now that the council has ordered an investigation it will not take master obiwan long to find that bounty hunter
PADME	i havecan not worked for a year to defeat the  military creation act  not to be here when its fate is decided
ANAKIN	sometimes we have to let go of our pride and do what is requested of us
PADME	pride annie you am young and you docan not have a very firm grip on politics i suggest you reserve your opinions for some other time
ANAKIN	sorry m lady i was only trying to 
PADME	annie no
ANAKIN	please docan not call me that
PADME	what
ANAKIN	annie 
PADME	i are always called you that  it is your name iscan not it
ANAKIN	it will anakin when you say annie it will like ilet us still a little boy  and ilet us not
PADME	ilet us sorry anakin it will impossible to deny you are   that you are grown up
ANAKIN	master obiwan manages not to see it 
PADME	mentors have a way of seeing more of our faults than we would like it will the only way we grow
ANAKIN	docan not get me wrong  obiwan is a great mentor as wise as master yoda and as powerful as master windu i am truly thankful to be his apprentice only  although ilet us a padawan learner in some ways  a lot of ways  ilet us ahead of him ilet us ready for the trials i know i am he knows it too he believes ilet us too unpredictable  other jedi my age have gone through the trials and made it  i know i started my training late  but he will not let me move on
PADME	that must be frustrating
ANAKIN	it will worse  he will overly critical he never listens he just doescan not understand it will not fair
PADME	ilet us sorry  you sounded exactly like that little boy i once knew when he didcan not get his way
ANAKIN	ilet us not whining ilet us not
PADME	i didcan not say it to hurt you
ANAKIN	i know 
PADME	anakin  docan not try to grow up too fast
ANAKIN	i am grown up you said it yourself
PADME	please docan not look at me like that
ANAKIN	why not
PADME	because i can see what you am thinking
ANAKIN	ahh  so you have jedi powers too
PADME	it makes me feel uncomfortable
ANAKIN	sorry m lady
===	===
CAPTAIN TYPHO	be safe m lady
PADME	thank you captain take good care of dorme  the threat will on you two now
DORME	he have be safe with me
PADME	you have be fine
DORME	it will not me m lady i worry about you what if they realise ilet us not you
PADME	then my jedi protector will have to prove how grown up he is
OBI-WAN	anakin you stay put on naboo do not attract any attention do absolutely nothing without checking in with me or the council
ANAKIN	yes master
OBI-WAN	i will get to the bottom of this plot quickly m lady you have be back here in no time
PADME	i will be most grateful for your speed master jedi
ANAKIN	time to go
PADME	i know
OBI-WAN	may the force be with you
ANAKIN	may the force be with you master
PADME	suddenly ilet us afraid 
ANAKIN	ilet us kinda scared too this is my first assignment on my own
PADME	there will nothing to worry about  we have artoo with us
OBI-WAN	i hope he doescan not try anything foolish
CAPTAIN TYPHO	i is be more concerned about her doing something than him
===	===
PK-4	place the subject for analysis on the sensot tray please
OBI-WAN	it will a toxic dart i need to know where it came from and who made it
PK-4	one moment please as you can see on your screen subject weapon does not exist in any known culture markings cannot be identified probablt selfmade by a warrior not associated with any known society
OBI-WAN	excuse me could you try again please
PK-4	master jedi our records are very thorough they cover eight percent of the galaxy if i  had tell you where it came from nobody can
OBI-WAN	thanks for your assistance you may not be able to figure this out but i think i know someone who might
===	===
SERVER	keep moving keep moving
FOOD SERVER	hey no droids
ANAKIN	no no mom no  what
PADME	you seemed to be having a nightmare are you hungry
ANAKIN	thank you
PADME	we went into lightspeed a while ago
ANAKIN	i look forward to seeing naboo again i are thought about it every day since i left it will by far the most beautiful place i are ever seen 
PADME	you were just a little boy then it may not be as you remember it time changes your perception
ANAKIN	i think time has given me much more mature feelings to enhance my perception
PADME	it must be difficult having sworn your life to the jedi  not being able to visit the places you like  or do the things you like 
ANAKIN	or be with the people i love
PADME	are you allowed to love i thought that was forbidden for a jedi
ANAKIN	attachment is forbidden possession is forbidden compassion which i would define as unconditional love is central to a jedi will life so you might say we am encouraged to love
PADME	you have changed so much
ANAKIN	you havecan not changed a bit you am exactly the way i remember you in my dreams i doubt if naboo has changed much either
PADME	it hascan not 
ANAKIN	i  had wait to breathe the sweet breeze that comes off the rolling hills whenever i try to visualise the force those hills are what i see i love naboo
PADME	were you dreaming about you mother earlier werecan not you
ANAKIN	yes  i left tatooine so long ago my memory of her is fading i docan not want to lose it recently i are been seeing her in my dreams  vivid dreams  scary dreams i worry about her
===	===
HERMIONE	can i help ya
OBI-WAN	ilet us looking for dexter
HERMIONE BAGWA	waddya want him for
OBI-WAN	he will not in trouble it will personal
HERMIONE BAGWA	someone to see ya honey a jedi by the looks of him
DEXTER JETTSTER	obiwan
OBI-WAN	hey dex
DEXTER JETTSTER	take a seat be right with ya
HERMIONE BAGWA	you want a cup of ardees
OBI-WAN	thank you
DEXTER JETTSTER	hey ol  buddy
OBI-WAN	hey dex
DEXTER JETTSTER	so my friend what can i do for ya
OBI-WAN	you can tell me what this is
DEXTER JETTSTER	well whattaya know  i aican not seen one of these since i was prospecting on subterrel beyond the outer rim
OBI-WAN	do you know where it came from
DEXTER JETTSTER	this baby belongs to them cloners what you got here is a kamino kyberdart
OBI-WAN	kamino kyberdart  i wonder why it didcan not show up in any analysis archive
DEXTER JETTSTER	it will these funny little cuts on the side give it away  those analysis droids you are got over there only focus on symbols you know i should think you jedi would have more respect for the difference between knowledge and wisdom
OBI-WAN	well dex if droids could think we wouldcan not be here would we kamino  doescan not sound familiar is it part of the republic
DEXTER JETTSTER	no it will beyond the outer rim i is say about twelve parsecs outside the rishi maze toward the south it should be easy to find even for those droids in your archive to find those kaminoans keep to themselves they am cloners damned good ones too
OBI-WAN	cloners are they friendly
DEXTER JETTSTER	it depends
OBI-WAN	on what dex
DEXTER JETTSTER	on how good your manners are  and how big your pocketbook is 
===	===
ANAKIN	if i grew up here i docan not think i is ever leave
PADME	i doubt that
ANAKIN	no really when i started my training i was very homesick and very lonely this city and my mom were the only pleasant things i had to think about  the problem was the more i thought about my mom the worse i felt but i would feel better if i thought about the palace  the way it shimmers in the sunlight  the way the air always smells of flowers 
PADME	 and the soft sound of the distant waterfalls the first time i saw the capital i was very young  i is never seen a waterfall before i though they were so beautiful  i never dreamed one day i is live in the palace
ANAKIN	well tell me did you dream of power and politics when you were a little girl
PADME	no that was the last thing i thought of my dream was to help in the  refugee relief movement  i never thought of running for elected office but the more history i studied the more i realised how much good politicians could do so when i was eight i joined the  apprentice legislators  then later on became a senatorial advisor with such a passion that before i knew it i was elected queen partly because i scored so high on my education certificate but for the most part it was my conviction that reform was possible i wascan not the youngest queen ever elected but now that i think back on it ilet us not sure i was old enough ilet us not sure i was ready
ANAKIN	the people you served thought you did a good job i heard they tried to amend the constitution so you could stay in office
PADME	popular rule is not democracy annie it gives the people what they want not what they need and truthfully i was relieved when my two terms were up so were my parents they worried about me during the blockade and couldcan not wait for it all to be over actually i was hoping to have a family by now  my sisters have the most amazing wonderful kids  but when the queen asked me to serve as senator i couldcan not refuse her
ANAKIN	i agree i think the republic needs you  ilet us glad you chose to serve i feel things are going to happen in our generation that will change the galaxy in profound ways
PADME	i think so too
===	===
QUEEN JAMILLIA	we are been worried about you ilet us so glad you am safe padme
PADME	thank you your highness i only wish i could have served you better by staying on coruscant for the vote
SIO BIBBLE	given the circumstances senator you know it was the only decision her highness could have made
QUEEN JAMILLIA	how many systems have joined count dooku and the separatists
PADME	about two hundred and more are leaving the republic every day if the senate votes to create an army ilet us sure it will going to push us into a civil war
SIO BIBBLE	it will unthinkable there hascan not been a fullscale war since the formation of the republic
QUEEN JAMILLIA	do you see any way through negotiations to bring the separatists back into the republic
PADME	not if they feel threatened the separatists docan not have an army but if they are provoked they will move to defend themselves ilet us sure of that and with no time or money to build an army my guess is they will turn to the commerce guilds or the trade federation for help
QUEEN JAMILLIA	the armies of commerce why has nothing been done in the senate to restrain them
PADME	ilet us afraid that despite the chancellor will best efforts there are still many bureaucrats judges and even senators on the payrolls of the guilds
SIO BIBBLE	it will outrageous after all of those hearings and the four trials in the supreme court nute gunray is still the viceroy of the trade federation do those money mongers control everything
QUEEN JAMILLIA	remember counsellor the courts were able to reduce the federation will armies that will a move in the right direction
PADME	there are rumours your highness that the federation army was not reduced as they were ordered
ANAKIN	the jedi have not been allowed to investigate it would be to be too dangerous for the economy we were told
QUEEN JAMILLIA	we must keep our faith in the republic the day we stop believing democracy can work is the day we lose it
PADME	let will pray that day never comes
QUEEN JAMILLIA	in the meantime we must consider your own safety
SIO BIBBLE	what is your suggestion master jedi
PADME	anakin will not a jedi yet counsellor he will still a padawan learner i was thinking 
ANAKIN	hey hold on a minute
PADME	excuse me i was thinking i would stay in the lake country there are some places up there that are very isolated
ANAKIN	excuse me i am in charge of security here m lady
PADME	annie my life is at risk and this is my home i know it very well  that is why we am here i think it would be wise for you to take advantage of my knowledge in this instance
ANAKIN	sorry m lady
SIO BIBBLE	she is right the lake country is the most remote part of naboo not many people and a clear view of the surrounding terrain
QUEEN JAMILLIA	perfect it will settled then padme i had an audience with your father yesterday i told him what was happening he hopes you will visit your mother before you leave  your family will very worried about you
===	===
JOCASTA NU	did you call for assistance
OBI-WAN	yes  yes i did 
JOCASTA NU	he has a powerful face doescan not he he was one of the most brilliant jedi i have had the privilege of knowing
OBI-WAN	i never understood why he quit only twenty jedi have ever left the order
JOCASTA NU	the lost twenty  and count dooku was the most recent and the most painful no one likes to talk about it his leaving was a great loss to the order
OBI-WAN	what happened
JOCASTA NU	well one might say he was always a bit out of step with the decisions of the council  much like your old master quigon jinn
OBI-WAN	really
JOCASTA NU	oh yes they were alike in many ways very individual thinkers  idealists  he was always striving to become a more powerful jedi he wanted to be the best with a lightsaber in the old style of fencing he had no match his knowledge of the force was  unique in the end i think he left because he lost faith in the republic he believed that politics were corrupt and he felt the jedi betrayed themselves by serving the politicians he always had very high expectations of government he disappeared for nine or ten years then he just showed up recently as the head of the separatist movement
OBI-WAN	interesting  ilet us still not sure i understand
JOCASTA NU	well ilet us sure you didcan not call me over here for a history lesson are you having a problem master kenobi
OBI-WAN	yes ilet us trying to find a planet system called kamino it doescan not seem to show upon any of the archive charts
JOCASTA NU	kamino it will not a system i m familiar with  let me see  are you sure you have the right coordinates
OBI-WAN	according to my information it should be in this quadrant somewhere  just south of the rishi maze
JOCASTA NU	no coordinates it sounds like the kind of directions you is get from a street tout  some old miner or furbog trader
OBI-WAN	all three actually
JOCASTA NU	are you sure it exists
OBI-WAN	absolutely
JOCASTA NU	let me do a gravitational scan there are some inconsistencies here maybe the planet you am looking for was destroyed
OBI-WAN	wouldcan not that be on record
JOCASTA NU	it ought to be unless it was very recent i hate to say it but it looks like the system you am searching for doescan not exist
OBI-WAN	that will impossible  perhaps the archives are incomplete
JOCASTA NU	the archives are comprehensive and totally secure my young jedi one thing you may be absolutely sure of  if an item does not appear in our records it does not exist
===	===
PADME	there will my house what docan not say you am shy
ANAKIN	no but i 
RYOO & POOJA	aunt padme aunt padme
PADME	ryoo pooja ilet us so happy to see you this is anakin anakin this is ryoo and this is pooja
RYOO & POOJA	artoo
===	===
SOLA	they am eating over at jev narran will later mom they just had a snack they have be fine
PADME	anakin this is my sister sola
SOLA	hello anakin
ANAKIN	hello
JOBAL	you am just in time for dinner i hope you am hungry anakin
ANAKIN	a little
PADME	he will being polite mom we am starving
RUWEE	you came to the right place at the right time sit down son
JOBAL	honey it will so good to see you safe we were so worried
RUWEE	dear 
JOBAL	i know i know  but i had to say it now it will done
SOLA	well this is exciting do you know anakin you am the first boyfriend my sister will ever brought home
PADME	sola he iscan not my boyfriend he will a jedi assigned by the senate to protect me
JOVAL	a bodyguard oh padme they didcan not tell us it was that serious
PADME	it will not mom i promise anyway anakin will a friend i are known him for years remember that little boy who was with the jedi during the blockade crisis he grew up
JOBAL	honey when are you going to settle down havecan not you had enough of that life i certainly have
PADME	mom ilet us not in any danger
RUWEE	is she
ANAKIN	 yes  ilet us afraid she is
PADME	but not much
===	===
RUWEE	sometimes i wish i is traveled more  but i must say ilet us happy here
ANAKIN	padme tells me you teach at the university
RUWEE	yes and before that i was a builder i also worked for the refugee relief movement when i was very young
===	===
SOLA	why havecan not you told us about him
PADME	what will there to talk about  he will just a boy
SOLA	a boy have you seen the way he looks at you
PADME	sola  stop it
SOLA	it will obvious he has feelings for you are you saying little baby sister that you havecan not noticed
PADME	ilet us not your baby sister sola anakin and i are friends  our relationship is strictly professional mom would you tell her to stop it
SOLA	well maybe you havecan not noticed the way he looks at you i think you am afraid to
PADME	cut it out
JOBAL	sola will just concerned  we all are
PADME	oh mom you am impossible what ilet us doing is important
JOBAL	you are done your service padme it will time you had a life of your own you am missing so much
===	===
RUWEE	now tell me son how serious is this thing how much danger is my daughter really in
ANAKIN	there have been two attempts on her life chances are there have be more my master is tracking down the assassins ilet us sure he have find out who they are this situation will not last long
RUWEE	i docan not want anything to happen to her
ANAKIN	i docan not either
===	===
PADME	docan not worry this will not take long
ANAKIN	i just want to get there before dark you still live at home
PADME	i move around so much i are never had a place of my own official residences have no warmth i feel good here i feel at home
ANAKIN	i never had a real home home was always where my mom was is this you
PADME	that was when i went with the relief group to shaddabiboran their sun was imploding and the planet was dying i was helping to relocate the children see that little one ilet us holding his name was n akeetula which means sweethear he was so full of life all those kids were i did everything i could to save him but he died  they all did they were never able to adapt  to live off their native planet my first day as an apprentice legislator notice the difference
===	===
YODA	docan not think  feel  be as one with the force help you it will younglings  enough a visitor we have welcome him master obiwan kenobi meet the mighty bear clan
CHILDREN	welcome master obiwan
OBI-WAN	i am sorry to disturb you master
YODA	what help to you can i be
OBI-WAN	ilet us looking for a planet described to me by an old friend i trust him but the system doescan not show up on the archive maps
YODA	an interesting puzzle gather round the map reader younglings master obiwan has lost a planet find it we will try 
OBI-WAN	this is where it ought to be  but it iscan not gravity is pulling all the stars in this area inward to this spot there should be a star here  but there iscan not
YODA	most interesting gravity will silhouette remains but the star and all its planets have disappeared how can this be
JEDI CHILD JACK	because someone erased it from the archive memory
CHILDREN	that will right yes that will what happened someone erased it
JEDI CHILD MAY	if the planet blew up the gravity would go away
YODA	truly wonderful the mind of a child is uncluttered to the centre of the pull of gravity go and find your planet you will
OBI-WAN	but master yoda who could have erased information from the archives that will impossible iscan not it
YODA	much harder to answer that question is
===	===
PADME	when i was in level three we used to come here for school retreat see that island we used to swim there every day i love the water
ANAKIN	i do too i guess it comes from growing up on a desert planet
PADME	 we used to lie on the sand and let the sun dry us  and try to guess the names of the birds singing
ANAKIN	i docan not like sand it will coarse and rough and irritating and it gets everywhere not like here here everything will soft  and smooth 
PADME	there was a very old man who lived on the island he used to make glass out of sand  and vases and necklaces out of the glass they were magical
ANAKIN	everything here is magical
PADME	you could look into the glass and see the water the way it ripples and moves it looked so real  but it wascan not
ANAKIN	sometimes when you believe something to be real it becomes real real enough anyway 
PADME	i used to think if you looked too deeply into glass you would lose yourself
ANAKIN	i think it will true 
PADME	i shouldcan not have done that
ANAKIN	ilet us sorry when ilet us around you my mind is no longer my own
PADME	it will the situation  the stress 
ANAKIN	 the view
===	===
MACE WINDU	be wary this disturbance in the force is growing stronger
OBI-WAN	i am concerned for my padawan he is not ready to be on his own
YODA	the council is confident in this decision obiwan
MACE	he has exceptional skills the council is confident in its decision obiwan if the prophecy is true he weill be the one to bring balance to the force
OBI-WAN	but he still has much to learn and his abilities have made him  well  arrogant i realise now what you and master yoda knew from the beginning  the boy was too old to start the training and 
MACE WINDU	there will something else
OBI-WAN	master he should not have been given this assignment ilet us afraid anakin will not be able to protect the senator
MACE WINDU	why
OBI-WAN	he has a  an emotional connection with her it will been there since he was boy now he will confused  distracted
MACE-WINDU	obiwan you must have faith that he will take the right path
OBI-WAN	has master yoda gained any insight into whether or not this war will come about
MACE WINDU	probing the dark side is a dangerous process he could be in seclusion for days  may the force be with you
===	===
PADME	you did that
ANAKIN	what
PADME	that now stop it anakin
ANAKIN	ilet us not really supposed to do that  for fun i mean if master obiwan were here he is be very grumpy
===	===
ANAKIN	may i tell you something
PADME	i docan not know
ANAKIN	then how can i tell you
PADME	maybe you should use your jedi intuition
ANAKIN	it doescan not work around you my mind is always a muddle  i can only think of you
PADME	anakin docan not 
ANAKIN	from the moment i met you all those years ago a day hascan not gone by when i havecan not thought of you and now that ilet us close to you again ilet us in agony the closer i get to you the worse it gets the thought of not being with you mskes my stomach turn over  my mouth goes dry i feel dizzy i  had breathe ilet us haunted by the kiss you should never have given me my heart is beating hoping that kiss will not become a scar you are in my very soul tormenting me what can i do i will do anything you ask  if you are suffering as much as i am tell me
PADME	 i  had we  had it will just not possible
ANAKIN	anything will possible padme please listen 
PADME	you listen we live in a real world come back to it you am studying to become a jedi knight ilet us a senator if you follow your thoughts through to conclusion they will take us to a place we cannot go  regardless of the way we feel about each other
ANAKIN	then you do feel something there will an extraordinary connection between us you  had deny that
